country;MERCHANDISE TRADE;ARTS, CULTURE, ENTERTAINMENT;WELFARE, SOCIAL SERVICES;STRATEGY/PLANS;REGULATION/POLICY;CONTRACTS/ORDERS;MARKETS/MARKETING;HEALTH;SPORTS;DEFENCE;PRODUCTION/SERVICES;CAPACITY/FACILITIES;CORPORATE/INDUSTRIAL;ENVIRONMENT AND NATURAL WORLD;DISASTERS AND ACCIDENTS;CRIME, LAW ENFORCEMENT;TRADE/RESERVES;ECONOMICS;RELIGION;INTERNATIONAL RELATIONS;DOMESTIC POLITICS;WAR, CIVIL WAR;GOVERNMENT/SOCIAL;SHARE LISTINGS;COMMODITY MARKETS;LEGAL/JUDICIAL;LABOUR;BALANCE OF PAYMENTS;EMPLOYMENT/LABOUR;LABOUR ISSUES;TRAVEL AND TOURISM;EXPENDITURE/REVENUE;HUMAN INTEREST;MONEY MARKETS;FOREX MARKETS;MANAGEMENT;MANAGEMENT MOVES;MARKETS;GOVERNMENT BORROWING;INFLATION/PRICES;CONSUMER PRICES;EUROPEAN COMMUNITY;EC EXTERNAL RELATIONS;ECONOMIC PERFORMANCE;GOVERNMENT FINANCE;BIOGRAPHIES, PERSONALITIES, PEOPLE;MONETARY/ECONOMIC;ELECTIONS;WHOLESALE PRICES;OUTPUT/CAPACITY;NEW PRODUCTS/SERVICES;SOFT COMMODITIES;SCIENCE AND TECHNOLOGY;MARKET SHARE;ADVERTISING/PROMOTION;RETAIL SALES;INSOLVENCY/LIQUIDITY;MONEY SUPPLY;LEADING INDICATORS;DEFENCE CONTRACTS;PERSONAL INCOME;ENERGY MARKETS;ASSET TRANSFERS;MONOPOLIES/COMPETITION;EC MONETARY/ECONOMIC;LOANS/CREDITS;DOMESTIC MARKETS;WEATHER;CONSUMER FINANCE;ANNUAL RESULTS;UNEMPLOYMENT;INDUSTRIAL PRODUCTION;CREDIT RATINGS;BONDS/DEBT ISSUES;SHARE CAPITAL;COMMENT/FORECASTS;EXTERNAL MARKETS;PRIVATISATIONS;MERGERS/ACQUISITIONS;ACCOUNTS/EARNINGS;FUNDING/CAPITAL;RESERVES;PERFORMANCE;OWNERSHIP CHANGES;EQUITY MARKETS;BOND MARKETS;INTERBANK MARKETS;MILLENNIUM ISSUES;EC INTERNAL MARKET;EC CORPORATE POLICY;EC AGRICULTURE POLICY;CONSUMER CREDIT;OBITUARIES;INVENTORIES;HOUSING STARTS;RESEARCH/DEVELOPMENT;METALS TRADING;FASHION;EC INSTITUTIONS;CAPACITY UTILIZATION;EC GENERAL;EC ENVIRONMENT ISSUES;EC COMPETITION/SUBSIDY
AFGHANISTAN;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;3.0;4.0;4.0;5.0;8.0;8.0;8.0;32.0;34.0;143.0;179.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ALBANIA;1.0;1.0;0.0;0.0;11.0;0.0;2.0;1.0;18.0;65.0;4.0;16.0;34.0;2.0;13.0;25.0;36.0;64.0;1.0;159.0;334.0;242.0;599.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;3.0;3.0;4.0;4.0;4.0;4.0;5.0;5.0;5.0;5.0;6.0;6.0;6.0;8.0;9.0;16.0;223.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ANGOLA;2.0;0.0;0.0;2.0;4.0;2.0;0.0;0.0;3.0;9.0;5.0;21.0;26.0;1.0;0.0;0.0;4.0;8.0;0.0;31.0;34.0;89.0;138.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;3.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;3.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ARGENTINA;46.0;5.0;10.0;18.0;46.0;18.0;64.0;3.0;85.0;7.0;67.0;86.0;532.0;7.0;2.0;102.0;146.0;403.0;5.0;51.0;115.0;60.0;415.0;7.0;459.0;26.0;37.0;7.0;86.0;84.0;0.0;41.0;3.0;183.0;7.0;3.0;2.0;925.0;59.0;13.0;13.0;6.0;3.0;27.0;95.0;8.0;62.0;20.0;4.0;18.0;1.0;450.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;3.0;3.0;3.0;3.0;4.0;5.0;6.0;6.0;7.0;15.0;18.0;19.0;22.0;24.0;32.0;37.0;46.0;69.0;70.0;74.0;85.0;101.0;110.0;136.0;154.0;175.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ARMENIA;2.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;2.0;0.0;1.0;1.0;5.0;0.0;0.0;0.0;2.0;8.0;0.0;1.0;12.0;3.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;1.0;0.0;0.0;0.0;3.0;0.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AUSTRALIA;83.0;26.0;15.0;330.0;458.0;143.0;518.0;32.0;456.0;30.0;324.0;648.0;4096.0;81.0;105.0;185.0;146.0;1299.0;9.0;137.0;469.0;37.0;2149.0;91.0;711.0;71.0;126.0;16.0;262.0;256.0;8.0;249.0;21.0;466.0;285.0;149.0;136.0;2129.0;60.0;76.0;70.0;7.0;3.0;132.0;309.0;26.0;294.0;24.0;5.0;16.0;33.0;519.0;15.0;14.0;12.0;23.0;5.0;2.0;232.0;14.0;26.0;87.0;96.0;115.0;4.0;22.0;30.0;54.0;71.0;113.0;68.0;4.0;90.0;100.0;189.0;983.0;93.0;82.0;668.0;419.0;429.0;28.0;1291.0;804.0;570.0;611.0;188.0;1.0;1.0;1.0;2.0;3.0;4.0;6.0;16.0;21.0;233.0;0.0;0.0;0.0;0.0;0.0;0.0
AUSTRIA;14.0;11.0;0.0;16.0;109.0;24.0;104.0;1.0;120.0;37.0;91.0;26.0;456.0;5.0;9.0;32.0;23.0;146.0;4.0;107.0;72.0;35.0;476.0;7.0;77.0;10.0;10.0;6.0;22.0;22.0;3.0;22.0;2.0;57.0;13.0;12.0;10.0;296.0;14.0;13.0;8.0;70.0;19.0;10.0;35.0;12.0;63.0;25.0;5.0;0.0;1.0;16.0;0.0;3.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;61.0;6.0;1.0;51.0;1.0;4.0;4.0;0.0;65.0;7.0;0.0;2.0;0.0;13.0;75.0;8.0;17.0;60.0;138.0;17.0;5.0;195.0;76.0;155.0;35.0;44.0;0.0;22.0;6.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;6.0;0.0;0.0;0.0;0.0
AZERBAIJAN;3.0;0.0;0.0;9.0;6.0;6.0;2.0;2.0;6.0;2.0;8.0;18.0;29.0;1.0;2.0;1.0;4.0;10.0;0.0;12.0;8.0;1.0;29.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BAHRAIN;2.0;0.0;1.0;13.0;3.0;9.0;4.0;0.0;3.0;6.0;6.0;20.0;146.0;1.0;6.0;11.0;7.0;23.0;0.0;13.0;6.0;14.0;208.0;0.0;1.0;0.0;1.0;2.0;3.0;3.0;1.0;1.0;0.0;41.0;10.0;2.0;2.0;63.0;8.0;0.0;0.0;1.0;0.0;1.0;10.0;0.0;4.0;0.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;1.0;7.0;2.0;0.0;1.0;7.0;77.0;23.0;0.0;79.0;7.0;19.0;2.0;41.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
BANGLADESH;22.0;0.0;9.0;5.0;52.0;8.0;23.0;11.0;5.0;2.0;15.0;65.0;182.0;37.0;93.0;43.0;38.0;137.0;4.0;64.0;81.0;82.0;408.0;1.0;60.0;16.0;25.0;5.0;34.0;35.0;0.0;24.0;1.0;106.0;95.0;6.0;4.0;349.0;6.0;5.0;5.0;4.0;4.0;19.0;31.0;6.0;36.0;6.0;0.0;0.0;0.0;53.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;7.0;30.0;1.0;9.0;0.0;0.0;0.0;0.0;4.0;4.0;5.0;9.0;1.0;14.0;13.0;4.0;18.0;9.0;183.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
